compound,receptor,seed,pose_rank,score_kcal_mol,pose_file
12,8Z8A,1,1,-4.68,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed1.pdbqt
12,8Z8A,1,2,-2.868,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed1.pdbqt
12,8Z8A,1,3,-2.495,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed1.pdbqt
12,8Z8A,1,4,-1.898,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed1.pdbqt
13,8Z8A,20260803,1,-5.063,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c13_8Z8A_seed20260803.pdbqt
13,8Z8A,20260803,2,-3.445,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c13_8Z8A_seed20260803.pdbqt
13,8Z8A,20260803,3,-3.408,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c13_8Z8A_seed20260803.pdbqt
13,8Z8A,20260803,4,-3.368,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c13_8Z8A_seed20260803.pdbqt
13,8Z8A,1,1,0.542,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c13_8Z8A_seed1.pdbqt
13,8Z8A,1,2,0.676,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c13_8Z8A_seed1.pdbqt
14,8Z8A,20260803,1,-7.376,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed20260803.pdbqt
14,8Z8A,20260803,2,-6.605,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed20260803.pdbqt
14,8Z8A,20260803,3,-6.413,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed20260803.pdbqt
14,8Z8A,20260803,4,-5.16,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed20260803.pdbqt
14,8Z8A,20260803,5,-4.906,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed20260803.pdbqt
14,8Z8A,1,1,-7.371,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed1.pdbqt
14,8Z8A,1,2,-6.624,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed1.pdbqt
14,8Z8A,1,3,-5.721,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed1.pdbqt
14,8Z8A,1,4,-5.644,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed1.pdbqt
14,8Z8A,1,5,-5.609,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed1.pdbqt
15,8Z8A,20260803,1,-8.202,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed20260803.pdbqt
15,8Z8A,20260803,2,-7.823,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed20260803.pdbqt
15,8Z8A,20260803,3,-7.293,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed20260803.pdbqt
15,8Z8A,20260803,4,-5.449,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed20260803.pdbqt
15,8Z8A,1,1,-7.044,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed1.pdbqt
15,8Z8A,1,2,-6.89,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed1.pdbqt
15,8Z8A,1,3,-6.738,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed1.pdbqt
15,8Z8A,1,4,-6.497,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed1.pdbqt
15,8Z8A,1,5,-5.544,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed1.pdbqt
16,8Z8A,20260803,1,-6.795,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed20260803.pdbqt
16,8Z8A,20260803,2,-6.506,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed20260803.pdbqt
16,8Z8A,20260803,3,-6.504,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed20260803.pdbqt
16,8Z8A,20260803,4,-6.449,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed20260803.pdbqt
16,8Z8A,20260803,5,-6.076,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed20260803.pdbqt
16,8Z8A,1,1,-7.353,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed1.pdbqt
16,8Z8A,1,2,-7.104,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed1.pdbqt
16,8Z8A,1,3,-6.788,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed1.pdbqt
16,8Z8A,1,4,-6.11,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed1.pdbqt
16,8Z8A,1,5,-5.691,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed1.pdbqt
17,8Z8A,20260803,1,-8.137,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed20260803.pdbqt
17,8Z8A,20260803,2,-7.64,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed20260803.pdbqt
17,8Z8A,20260803,3,-6.595,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed20260803.pdbqt
17,8Z8A,20260803,4,-5.669,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed20260803.pdbqt
17,8Z8A,1,1,-8.15,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed1.pdbqt
17,8Z8A,1,2,-7.641,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed1.pdbqt
17,8Z8A,1,3,-6.271,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed1.pdbqt
17,8Z8A,1,4,-5.721,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed1.pdbqt
18,8Z8A,20260803,1,-7.401,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed20260803.pdbqt
18,8Z8A,20260803,2,-6.705,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed20260803.pdbqt
18,8Z8A,20260803,3,-6.562,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed20260803.pdbqt
18,8Z8A,20260803,4,-6.549,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed20260803.pdbqt
