compound_id,receptor_id,seed,pose_rank,score_kcal_mol,centroid_x,centroid_y,centroid_z
3_OBA,8Z8A,2,6,-4.333,93.819,128.236,125.648
3_OBA,8Z8A,2,7,-4.309,96.644,129.836,126.268
3_OBA,8Z8A,2,8,-4.223,95.684,127.973,125.659
3_OBA,8Z8A,3,1,-4.64,96.012,129.555,126.416
3_OBA,8Z8A,3,2,-4.495,96.077,128.389,126.052
3_OBA,8Z8A,3,3,-4.434,95.766,129.031,126.415
3_OBA,8Z8A,3,4,-4.32,96.469,127.115,124.517
3_OBA,8Z8A,3,5,-4.277,95.479,127.855,125.468
3_OBA,8Z8A,3,6,-4.195,95.396,127.482,124.882
3_OBA,8Z8A,3,7,-4.189,96.62,128.137,125.751
3_OBA,8Z8A,3,8,-4.107,95.008,134.344,134.529
3_OBA,8Z8A,4,1,-4.627,95.982,129.63,126.435
3_OBA,8Z8A,4,2,-4.509,96.614,128.275,125.901
3_OBA,8Z8A,4,3,-4.501,95.972,128.42,126.273
3_OBA,8Z8A,4,4,-4.445,95.818,129.009,126.29
3_OBA,8Z8A,4,5,-4.367,96.478,127.127,124.794
3_OBA,8Z8A,4,6,-4.328,93.993,128.131,125.53
3_OBA,8Z8A,4,7,-4.226,95.732,127.949,125.816
3_OBA,8Z8A,4,8,-4.118,95.258,128.111,125.115
3_OBA,8Z8A,5,1,-4.636,95.944,129.535,126.407
3_OBA,8Z8A,5,2,-4.564,96.83,128.247,125.853
3_OBA,8Z8A,5,3,-4.502,95.763,128.641,126.34
3_OBA,8Z8A,5,4,-4.342,95.625,127.83,125.814
3_OBA,8Z8A,5,5,-4.341,93.894,128.275,125.594
3_OBA,8Z8A,5,6,-4.319,96.421,127.129,124.689
3_OBA,8Z8A,5,7,-4.196,95.973,128.114,125.677
3_OBA,8Z8A,5,8,-4.094,95.24,134.484,134.513
3_OBA,8Z8A,6,1,-4.633,96.01,129.347,126.507
3_OBA,8Z8A,6,2,-4.552,96.686,128.215,125.87
