compound,receptor,seed,pose_rank,score_kcal_mol
38,8Z8A,5,3,-2.587
38,8Z8A,5,4,-2.384
38,8Z8A,5,5,-1.737
38,8Z8A,6,1,-4.414
38,8Z8A,6,2,-4.097
38,8Z8A,6,3,-3.458
38,8Z8A,6,4,-2.807
38,8Z8A,7,1,-4.424
38,8Z8A,7,2,-4.081
38,8Z8A,7,3,-3.232
38,8Z8A,7,4,-2.396
