entry_id,name,smiles,ec50_nM,emax_pct,boltz_job_id,boltz_result_url,boltz_exit_code,boltz_affinity_pred_value,boltz_affinity_probability_binary,boltz_confidence_score,boltz_ligand_iptm,boltz_complex_ipde,error
c33,Davidsson 2020 compound 33,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1N1CCOCC1,740.0,,8308ed73-45e7-432a-8593-3265aa6aee63,https://biolib.corp.novocorp.net/results/8308ed73-45e7-432a-8593-3265aa6aee63/,0,-0.202755868434906,0.1253541111946106,0.7536635994911194,0.7984786629676819,3.5250630378723145,
c35,Davidsson 2020 compound 35,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,600.0,,e251d5e7-d48d-41fd-a9a7-f4ee07efaa13,https://biolib.corp.novocorp.net/results/e251d5e7-d48d-41fd-a9a7-f4ee07efaa13/,0,0.43638888001441956,0.5488600730895996,0.7733954787254333,0.8463221788406372,3.2804691791534424,
c37,Davidsson 2020 compound 37,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@H](C)O[C@@H](C)C1,350.0,,2fd1a869-ad9c-484a-bdbe-ab4547d5cf8e,https://biolib.corp.novocorp.net/results/2fd1a869-ad9c-484a-bdbe-ab4547d5cf8e/,0,0.12188655138015747,0.13466809689998627,0.8486250042915344,0.9453911781311035,0.960884153842926,
c36,Davidsson 2020 compound 36,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCO[C@H](C)C1,160.0,,7c2575ba-aa16-4fa8-a18f-521dbb634741,https://biolib.corp.novocorp.net/results/7c2575ba-aa16-4fa8-a18f-521dbb634741/,0,-0.7542540431022644,0.09772667288780212,0.7507807016372681,0.7432280778884888,4.907737731933594,
c38,Davidsson 2020 compound 38,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@@H](C)O[C@@H](C)C1,54.0,,eb4e97ee-851f-4a50-8482-fd622abf7dfd,https://biolib.corp.novocorp.net/results/eb4e97ee-851f-4a50-8482-fd622abf7dfd/,0,0.10347974300384521,0.1401335746049881,0.8264193534851074,0.8910433053970337,1.7516953945159912,
c39,Davidsson 2020 compound 39,CCOc1cc(Cl)c(C(=O)Nc2nc3ccccc3s2)cc1N1CCOCC1,1900.0,,8d5283a6-cf79-4596-b28e-5845c5456d5c,https://biolib.corp.novocorp.net/results/8d5283a6-cf79-4596-b28e-5845c5456d5c/,0,0.48979318141937256,0.23254644870758057,0.8404688239097595,0.9544786810874939,0.8562127351760864,
t02,GPR81_agonist_1,CC1CCC(CC1)C(=O)NC2=NC(=C(S2)CC(=O)N3CCN(CC3)C)C4=CC=CS4,50.0,,3a596aaa-e4ed-4283-8c5a-08d3c53b6d57,https://biolib.corp.novocorp.net/results/3a596aaa-e4ed-4283-8c5a-08d3c53b6d57/,0,-1.0469776391983032,0.5859662890434265,0.8452416658401489,0.970784068107605,0.7673342823982239,
t01,AZ1_GPR81_agonist_2,CCOC1=C(C=C(C(=C1)Cl)C(=O)NC(=O)NC2=NC3=C(S2)C=C(C=C3)S(=O)(=O)C4CCN(CC4)C)N5C=CC=N5,23.0,,698eb691-9d5b-4126-9832-889f41de84a4,https://biolib.corp.novocorp.net/results/698eb691-9d5b-4126-9832-889f41de84a4/,0,-1.297473430633545,0.386328786611557,0.8081538081169128,0.8827236294746399,1.6750457286834717,
t05,3_OBA,CC(CC(=O)O)O,,,21b91a08-5d00-4104-aca6-efe48e674d62,https://biolib.corp.novocorp.net/results/21b91a08-5d00-4104-aca6-efe48e674d62/,0,0.8072754144668579,0.30488234758377075,0.8693861365318298,0.9510743021965027,0.8001580834388733,
t03,CHBA,C1=C(C=C(C=C1O)Cl)C(=O)O,,,2683f69d-b9ae-4c34-b7df-6af1b8ab90fc,https://biolib.corp.novocorp.net/results/2683f69d-b9ae-4c34-b7df-6af1b8ab90fc/,0,0.41947540640830994,0.3764955401420593,0.8617486357688904,0.9618303179740906,0.6529102325439453,
t04,3_5_DHBA,C1=C(C=C(C=C1O)O)C(=O)O,,,0d7e618a-93df-4895-b6e4-a345dbc517e1,https://biolib.corp.novocorp.net/results/0d7e618a-93df-4895-b6e4-a345dbc517e1/,0,1.3872740268707275,0.3882133662700653,0.8252784013748169,0.9673018455505371,0.5912222862243652,
lac,L-lactate (endogenous ligand),C[C@H](O)C(=O)O,,,71048886-b16b-4eb0-9442-1b908bb6d98a,https://biolib.corp.novocorp.net/results/71048886-b16b-4eb0-9442-1b908bb6d98a/,0,1.5110069513320923,0.4525619149208069,0.8416752219200134,0.9228970408439636,1.1659801006317139,
